ID	Artist	Title	Link	Origin	Not in use	Voice
160	Haustor	Moja prva ljubav	https://www.youtube.com/watch?v=DcHG6FG12AE	EX-YU		
161	Haustor	Sejmeni	https://www.youtube.com/watch?v=Ag7FbUNcPD4	EX-YU		
162	Haustor	Uzalud pitaš	https://www.youtube.com/watch?v=bJ5wJhOXiqI	EX-YU		
163	Haustor	Bi mogo da mogu	https://www.youtube.com/watch?v=TfL-mzoMCiM	EX-YU		
164	Hazard	Marie, ne piši pesmi več	https://www.youtube.com/watch?v=9nunISFtmIU	SLO		
165	High School Musical	Breaking Free	http://www.youtube.com/watch?v=YwP9YSnOayk	Foreign		
166	Hillsong UNITED	Oceans (Where Feet May Fail)	http://www.youtube.com/watch?v=RYcjiDrljHI	Foreign		
167	Hozier	Take Me To Church	http://www.youtube.com/watch?v=2bb67GtsI80	Foreign	1	
168	Hrvatski Band Aid	Moja domovina	https://www.youtube.com/watch?v=dujJ6TMYS9g	EX-YU		
169	Iggy Azalea and Charli Xcx	Fancy	http://www.youtube.com/watch?v=nrV7e6ASomM	Foreign		
170	Imagine Dragons	Believer	http://www.youtube.com/watch?v=sfbCZw_c2Zs	Foreign		
171	Imagine Dragons	Demons	http://www.youtube.com/watch?v=TsCPrboDunw	Foreign		
172	Imagine Dragons	Radioactive	http://www.youtube.com/watch?v=eGpM33XHyoE	Foreign		
173	Imagine Dragons	Bad Liar	http://www.youtube.com/watch?v=z2-8U9XeArs	Foreign		
174	Irena Tratnik	Malo Miru	https://www.youtube.com/watch?v=H0CTtudXx0E	SLO		
175	Ivana Brkić	Oči boje kestena	https://www.youtube.com/watch?v=FMDAlJu4Vn4	EX-YU		
176	Jadranka Stojaković	Što te nema	https://www.youtube.com/watch?v=MoI1nixetw8	EX-YU		
177	James Arthur	Say You Won't Let Go	http://www.youtube.com/watch?v=jb2T4ZXL6R4	Foreign		
178	James Bay	Let It Go	http://www.youtube.com/watch?v=nhv788BMisk	Foreign		
179	Jan Plestenjak	Moja Ljubica	https://www.youtube.com/watch?v=0z4ye6XuahU	SLO		
180	Jani Golob	Prisluhni školjki	https://www.youtube.com/watch?v=5qWDNOV0EtU	SLO		
181	Janko Ropret	Ljubljančanke	https://www.youtube.com/watch?v=toLkDt33KBs	SLO		
182	Jason Mraz	I'm Yours	http://www.youtube.com/watch?v=kn8YiDSYcq4	Foreign		
183	Jason Mraz	I Won't Give Up	http://www.youtube.com/watch?v=UdxPKQ0_PdE	Foreign		
184	Jessie J	Flashlight	http://www.youtube.com/watch?v=pdheWX4oO1A	Foreign		
185	Jessie J	Domino	http://www.youtube.com/watch?v=GZ_ROLrdvPI	Foreign		
186	Jessie J ft. B.o.B	Price Tag	http://www.youtube.com/watch?v=hyB4iyq2tmw	Foreign		
187	Jessie J, Ariana Grande and Nicki Minaj	Bang Bang	http://www.youtube.com/watch?v=u1OG4gBcPaA	Foreign		
188	John Denver	Take Me Home, Country Roads	http://www.youtube.com/watch?v=7aNW9hRKYA8	Foreign		
189	John Legend	All of Me	http://www.youtube.com/watch?v=kr8wPkdHFA0	Foreign		
190	John Lennon	Imagine	http://www.youtube.com/watch?v=MR70Dg0_o1A	Foreign		
191	Josh Groban	You Raise Me Up	http://www.youtube.com/watch?v=btwJm_mV-84	Foreign		
192	Josipa Lisac	Srela sam se s njim	https://www.youtube.com/watch?v=270YAh3yKoM	EX-YU		
193	Josipa Lisac	O jednoj mladosti	https://www.youtube.com/watch?v=9qC2nIQp-SI	EX-YU		
